population,school_count,distance_k,gap,category,geom
18306.85938,0,0.072591292,5492.057813,High Deficit,"MULTIPOLYGON (((66.97430904671958 24.956498306209806, 66.97925912819092 24.95656557047269, 66.97933281210088 24.95205281739762, 66.97438291082783 24.95198556692936, 66.97437383907847 24.952539865907614, 66.97454633200005 24.952646930000075, 66.97498653200006 24.95284918400006, 66.97537914300005 24.953003849000023, 66.97578365100003 24.95321800100003, 66.97604539200006 24.953408358000043, 66.97606918700006 24.95362250900007, 66.97600970000008 24.953789071000074, 66.97585503500005 24.95391994200003, 66.97562898700005 24.954038915000073, 66.97495084000008 24.954169785000033, 66.97434585904499 24.95424938837967, 66.97430904671958 24.956498306209806)))"
15047.2373046875,0,0.350470928,4514.17119140625,High Deficit,"MULTIPOLYGON (((66.96935898313636 24.956430877613162, 66.96928492090096 24.96094360012561, 66.97423516472323 24.961011042551537, 66.97430904671958 24.956498306209806, 66.96935898313636 24.956430877613162)))"
15022.03516,0,0.307664067,4506.610547,High Deficit,"MULTIPOLYGON (((66.97430904671958 24.956498306209806, 66.97423516472323 24.961011042551537, 66.97918542643647 24.961078320610024, 66.97925912819092 24.95656557047269, 66.97430904671958 24.956498306209806)))"
14338.966796875,7,0,801.6900391,Low Deficit,"MULTIPOLYGON (((66.97925912819092 24.95656557047269, 66.97918542643647 24.961078320610024, 66.98413570599708 24.961145434298746, 66.98420922750677 24.9566326703995, 66.97925912819092 24.95656557047269)))"
13959.1318359375,0,0.426738694,4187.73955078125,High Deficit,"MULTIPOLYGON (((66.97423516472323 24.961011042551537, 66.9741612648359 24.965523775954143, 66.97911170683466 24.965591067809207, 66.97918542643647 24.961078320610024, 66.97423516472323 24.961011042551537)))"
1441.2392578125,0,0.91984304,432.37177734375,Low Deficit,"MULTIPOLYGON (((66.95938448710378 24.960808222180802, 66.96433469501326 24.960875993334586, 66.96440893748485 24.956363284685114, 66.96120489419155 24.956319445700025, 66.96088822600007 24.95681098700004, 66.96059079300005 24.957263084000033, 66.95992454400005 24.957869847000037, 66.95942530324793 24.958333430342115, 66.95938448710378 24.960808222180802)))"
14278.966796875,1,0,3783.6900390625,High Deficit,"MULTIPOLYGON (((66.95938448710378 24.960808222180802, 66.95942530324793 24.958333430342115, 66.95892517000004 24.958797837000073, 66.95787820700008 24.959821005000038, 66.95749749400005 24.960154129000045, 66.95734282900008 24.96066571400007, 66.9573170273031 24.960779868752713, 66.95938448710378 24.960808222180802)))"
14847.7568359375,1,0,3954.32705078125,High Deficit,"MULTIPOLYGON (((66.96433469501326 24.960875993334586, 66.9642604345635 24.96538869904296, 66.96921084073098 24.96545631969795, 66.96928492090096 24.96094360012561, 66.96433469501326 24.960875993334586)))"
13676.58984,1,0,3602.976953,High Deficit,"MULTIPOLYGON (((66.95931004637708 24.965320913991526, 66.95938448710378 24.960808222180802, 66.9573170273031 24.960779868752713, 66.95695021800003 24.962402720000057, 66.95666468200005 24.963532964000017, 66.95655738800008 24.963790604000053, 66.95644241600007 24.96406476700002, 66.95632744400007 24.964347774000036, 66.95630091200007 24.96461309400007, 66.95627438000008 24.964887257000044, 66.95625669200007 24.965055292000045, 66.95611899852193 24.965277132098837, 66.95931004637708 24.965320913991526)))"
13808.904296875,2,0,3142.6712890625,High Deficit,"MULTIPOLYGON (((66.95938448710378 24.960808222180802, 66.95931004637708 24.965320913991526, 66.9642604345635 24.96538869904296, 66.96433469501326 24.960875993334586, 66.95938448710378 24.960808222180802)))"
16556.66797,0,0.484316454,4967.000391,High Deficit,"MULTIPOLYGON (((66.96913674262355 24.96996903632976, 66.96921084073098 24.96545631969795, 66.9642604345635 24.96538869904296, 66.96424806909003 24.966140025524034, 66.96460251000009 24.96623873000004, 66.96508183600008 24.966254979000038, 66.96552054000006 24.966173737000076, 66.96614610100005 24.966092496000044, 66.96653606000007 24.96597875700007, 66.96677166100005 24.96583252300007, 66.96701538600009 24.965743157000077, 66.96805527800007 24.96575940500003, 66.96758999200006 24.96917135500007, 66.96747177979438 24.969946308118214, 66.96913674262355 24.96996903632976)))"
522.5292969,0,0.878878094,156.7587891,Low Deficit,"MULTIPOLYGON (((66.95931004637708 24.965320913991526, 66.95611899852193 24.965277132098837, 66.95609750100006 24.965311767000063, 66.95574374200004 24.96581587400004, 66.95540767100005 24.96639957600007, 66.95497431700005 24.967062874000078, 66.95462055800004 24.967602356000047, 66.95442599000006 24.967991491000078, 66.95431101900004 24.96819490200005, 66.95620362900007 24.969096988000047, 66.95703496200008 24.969477278000056, 66.95728259300006 24.96955687400003, 66.95745947300003 24.969211959000063, 66.95754791200005 24.968928952000056, 66.95771594800004 24.968292186000042, 66.95777785600006 24.968141839000054, 66.95925583895404 24.96860634793917, 66.95931004637708 24.965320913991526)))"
8099.820313,0,0.270908954,2429.946094,Moderate Deficit,"MULTIPOLYGON (((66.9642604345635 24.96538869904296, 66.95931004637708 24.965320913991526, 66.95925583895404 24.96860634793917, 66.95932555100006 24.96862825700003, 66.95952896200004 24.96727512900003, 66.96081133800004 24.967452009000056, 66.96104128100006 24.96557708700004, 66.96320645100008 24.965858775000072, 66.96396070200007 24.96605999900004, 66.96424806909003 24.966140025524034, 66.9642604345635 24.96538869904296)))"
14921.97656,0,0.464368977,4476.592969,High Deficit,"MULTIPOLYGON (((66.98420922750677 24.9566326703995, 66.98413570599708 24.961145434298746, 66.98908600336141 24.961212383615383, 66.9891593446235 24.956699605987914, 66.98420922750677 24.9566326703995)))"
7169.777344,0,0.011124688,2150.933203,Moderate Deficit,"MULTIPOLYGON (((66.9891593446235 24.956699605987914, 66.98908600336141 24.961212383615383, 66.99403631848585 24.961279168557603, 66.99410947949754 24.95676637723561, 66.9891593446235 24.956699605987914)))"
10663.38281,2,0,2199.014844,Moderate Deficit,"MULTIPOLYGON (((66.98908600336141 24.961212383615383, 66.98901264433917 24.96572515830664, 66.99396313975767 24.965791956944358, 66.99403631848585 24.961279168557603, 66.98908600336141 24.961212383615383)))"
2964.783447265625,0,0.899861823,889.435034179687,Low Deficit,"MULTIPOLYGON (((66.98413570599708 24.961145434298746, 66.98406216668363 24.965658195260815, 66.98901264433917 24.96572515830664, 66.98908600336141 24.961212383615383, 66.98413570599708 24.961145434298746)))"
13095.87891,0,0.652328295,3928.763672,High Deficit,"MULTIPOLYGON (((66.97918542643647 24.961078320610024, 66.97911170683466 24.965591067809207, 66.98406216668363 24.965658195260815, 66.98413570599708 24.961145434298746, 66.97918542643647 24.961078320610024)))"
4755.5634765625,0,0.569313481,1426.66904296875,Moderate Deficit,"MULTIPOLYGON (((66.98901264433917 24.96572515830664, 66.98893926755397 24.970237930061273, 66.99388994331015 24.970304742395463, 66.99396313975767 24.965791956944358, 66.98901264433917 24.96572515830664)))"
3125.663818359375,0,0.951828549,937.699145507813,Low Deficit,"MULTIPOLYGON (((66.98406216668363 24.965658195260815, 66.9839886095636 24.97017095328529, 66.98893926755397 24.970237930061273, 66.98901264433917 24.96572515830664, 66.98406216668363 24.965658195260815)))"
17777.45313,0,0.019463233,5333.235938,High Deficit,"MULTIPOLYGON (((66.97911170683466 24.965591067809207, 66.97903796938265 24.970103812069823, 66.9839886095636 24.97017095328529, 66.98406216668363 24.965658195260815, 66.97911170683466 24.965591067809207)))"
920.9998779296877,0,1.795790638,276.299963378906,Low Deficit,"MULTIPOLYGON (((66.98893926755397 24.970237930061273, 66.98886587300298 24.97475069887888, 66.99381672914046 24.974817524910502, 66.99388994331015 24.970304742395463, 66.98893926755397 24.970237930061273)))"
7033.58740234375,0,0.087266363,2110.07622070312,Moderate Deficit,"MULTIPOLYGON (((66.9839886095636 24.97017095328529, 66.98391503463415 24.974683708371753, 66.98886587300298 24.97475069887888, 66.98893926755397 24.970237930061273, 66.9839886095636 24.97017095328529)))"
18308.595703125,0,0.472956581,5492.5787109375,High Deficit,"MULTIPOLYGON (((66.96928492090096 24.96094360012561, 66.96921084073098 24.96545631969795, 66.9741612648359 24.965523775954143, 66.97423516472323 24.961011042551537, 66.96928492090096 24.96094360012561)))"
2907.177978515625,0,0.865164619,872.153393554687,Low Deficit,"MULTIPOLYGON (((66.9741612648359 24.965523775954143, 66.97408734705476 24.970036506417202, 66.97903796938265 24.970103812069823, 66.97911170683466 24.965591067809207, 66.9741612648359 24.965523775954143)))"
11899.228515625,0,0.293219905,3569.7685546875,High Deficit,"MULTIPOLYGON (((66.96921084073098 24.96545631969795, 66.96913674262355 24.96996903632976, 66.97408734705476 24.970036506417202, 66.9741612648359 24.965523775954143, 66.96921084073098 24.96545631969795)))"
8529.152344,0,0.461347698,2558.745703,Moderate Deficit,"MULTIPOLYGON (((66.97408734705476 24.970036506417202, 66.97401341137692 24.97454923394031, 66.97896421407756 24.974616553391453, 66.97903796938265 24.970103812069823, 66.97408734705476 24.970036506417202)))"
12470.025390625,0,0.266117033,3741.0076171875,High Deficit,"MULTIPOLYGON (((66.96913674262355 24.96996903632976, 66.9690626265758 24.974481750020637, 66.97401341137692 24.97454923394031, 66.97408734705476 24.970036506417202, 66.96913674262355 24.96996903632976)))"
14788.7822265625,0,0.024937749,4436.63466796875,High Deficit,"MULTIPOLYGON (((66.97401341137692 24.97454923394031, 66.97393945779953 24.97906195852302, 66.97889044091659 24.979129291773678, 66.97896421407756 24.974616553391453, 66.97401341137692 24.97454923394031)))"
0,0,0.505467398,0,Adequate,"MULTIPOLYGON (((66.9690626265758 24.974481750020637, 66.9689884925849 24.97899446077014, 66.97393945779953 24.97906195852302, 66.97401341137692 24.97454923394031, 66.9690626265758 24.974481750020637)))"
14369.2822265625,0,0.005046721,4310.78466796875,High Deficit,"MULTIPOLYGON (((66.97889044091659 24.979129291773678, 66.97393945779953 24.97906195852302, 66.97391767729373 24.98039081899217, 66.97706509400007 24.98006352500005, 66.97702854500005 24.982311259000024, 66.97883782379671 24.982347236314585, 66.97889044091659 24.979129291773678)))"
16851.11719,0,0.443472478,5055.335156,High Deficit,"MULTIPOLYGON (((66.97393945779953 24.97906195852302, 66.9689884925849 24.97899446077014, 66.96898034506097 24.979490352960475, 66.96924371000006 24.980876729000045, 66.97391767729373 24.98039081899217, 66.97393945779953 24.97906195852302)))"
52.52461624145508,0,1.305434495,15.7573848724365,Low Deficit,"MULTIPOLYGON (((66.98974543569608 24.920597279314823, 66.99294771286304 24.92064043456933, 66.99285824600008 24.920248630000057, 66.99279162100004 24.920001166000077, 66.99279162100004 24.91977273800006, 66.99289631700003 24.919458649000028, 66.99289631700003 24.919211185000044, 66.99284872800007 24.918992275000054, 66.99278210300008 24.918659150000053, 66.99276306800004 24.918373615000064, 66.99280113900005 24.918059526000036, 66.99284499200007 24.91772757500007, 66.99283476500005 24.917477017000063, 66.99273249600003 24.917384975000065, 66.99236432800006 24.91719066400003, 66.99182741600005 24.916996353000062, 66.99159219800003 24.91691965100006, 66.99142856800006 24.916899197000077, 66.99127516400006 24.916940105000034, 66.99116266800007 24.91694521800002, 66.99097858400006 24.91665886500004, 66.99084563500003 24.916392966000046, 66.99074336600006 24.91619865500007, 66.99066666400006 24.916147521000028, 66.99044650000008 24.916125811000033, 66.99030015600005 24.91609096800004, 66.98994126600007 24.916101421000068, 66.98981814284339 24.91611373317568, 66.98974543569608 24.920597279314823)))"
